Question,Response
 Lưu Bị sống ở thời kỳ lịch sử nào của Trung Quốc," Lưu trữ bị mắc kẹt trong thời kỳ đế quốc Trung Quốc cổ đại, kéo dài từ thế kỷ thứ 7 trước Công nguyên đến thế kỷ thứ 2 sau Công nguyên."
 Chùa Keo Hành Thiện thuộc địa phận tỉnh nào nước ta," “ Chùa Keo Hành Thiện” thuộc địa phận tỉnh Quảng Nam, Việt Nam."
 huấn luyện viên bóng đá Park Hang Seo sinh năm bao nhiêu, Park Hang Seo sinh vào ngày 18 tháng 6 năm 1973.
 Nhà Hậu Lê được thành lập sau thắng lợi của cuộc khởi nghĩa nào?,Nhà Hậu Lê được thành lập sau thắng lợi của cuộc khởi nghĩa Minh.
 Chiến tranh Chaco là chiến tranh giữa Bolivia và quốc gia nào,Chiến tranh Chaco là một cuộc xung đột giữa Bolivia và Peru vào năm 1964.
 Ai là người đưa ra thuyết tiến hóa trung tính,Người đưa ra thuyết tiến hóa trung lập là Charles Darwin.
 Ai là vị vua đầu tiên của nhà Tiền Lý?, véo đầu tiên của nhà tiền lục địa là Vua Genghis Khan vào năm 1206.
 Kinh Dương Vương có quan hệ như thế nào với Lạc Long Quân?,Kinh Dương Vương và Lạc Long Quân không phải là người bạn bè hay đồng minh trong bất kỳ sự kiện lịch sử nào. Họ là hai nhân vật riêng biệt trong các bộ phim truyền hình và tiểu thuyết khác nhau. Không có mối quan hệ thực tế giữa họ.
 Hành tinh nào nhỏ nhất trong hệ mặt trời có cấu tạo bằng đá giống trái đất?,Hành tinh nhỏ nhất trong hệ mặt trời có cấu tạo bằng đá giống trái đất là thủy ngân.
 Tập thơ “Thiên Nam dư hạ tập” được biên soạn bởi Thân Nhân Trung và Đỗ Nhuận dưới triều vua nào?,"Tập thơ ""Thiên Nam dư hạ tập"" được biên soạn bởi Thân Nhân Trung và Đỗ Nhuận dưới triều đại của nhà Tướng Trần Hưng Đạo."
 Sông nào dài nhất châu Phi,"Sông Amazon dài nhất châu Phi, trải dài khoảng 6.325 km (4.000 dặm)."
 Hà Nội có bao nhiêu đơn vị hành chính cấp huyện,Có 38 đơn vị hành chính cấp tỉnh tại Hà Nội: 1. Quận 1: Văn Miếu - Quốc Tử Giám; 2. Quận 2: Phố Cổ; 3. Quận 3: Thống Nhất; 4. Quận 4: Đồi Bát; 5. Quận 5: Phố Tây Hồ; 6. Quận 6: Phố Chợ Dâu; 7. Quận 7: Hồ Gươm; 8. Quận 8: Phố Tây Hồ; 9. Quận 9: Thống Nhất; 10. Quận 10: Quảng trường Ba Đình; 11. Quận 11: Tôn Đức Thắng; 12. Quận 12: Hoàn Kiếm; 13. Quận 13: Bến Thành; 14. Quận 14: Hoàn Kiếm; 15. Quận 15: Thống Nhất; 16. Quận 16: Đồi Bát; 17. Quận 17: Thống Nhất; 18. Quận 18: Phố Tây Hồ; 19. Quận 20: Phố Tây Hồ; 20. Quận 21: Hoàn Kiếm; 21. Quận 22: Hoàn Kiếm; 22. Quận 23: Hoàn Kiếm; 23. Quận 24: Hoàn Kiếm; 24. Quận 25: Hoàn Kiếm; 25. Quận 26: Hoàn Kiếm; 26. Quận 27: Hoàn Kiếm; 27. Quận 28: Hoàn Kiếm; 28. Quận 29: Hoàn Kiếm; 29. Quận 30: Hoàn Kiếm; 30. Quận 31: Hoàn Kiếm; 31. Quận 32: Hoàn Kiếm; 32. Quận 33: Hoàn Kiếm; 33. Quận 34: Hoàn Kiếm; 34. Quận 35: Hoàn Kiếm; 35. Quận 36: Hoàn Kiếm; 36. Quận 37: Hoàn Kiếm; 37. Quận 38: Hoàn Ki
 Ngôi sao sáng nhất trên bầu trời đêm?,"Ngôi sao sáng nhất trên bầu trời đêm là ngôi sao Vega. Nó được biết đến với các tính chất nổi bật của nó, bao gồm độ sáng cao và khả năng tạo ra ánh sáng xanh trong các giai đoạn hoàng hôn và hoàng hôn."
 Giải vô địch bóng đá thế giới tổ chức lần đầu tiên vào năm nào,Cuộc đua bóng đá thế giới lần đầu tiên được tổ chức vào năm 1954.
 Trường đại học nào lớn nhất Campuchia,ứa.
 Trụ sở chính của Google tên là gì," trụ sở chính của Google được đặt tại Mountain View, California, Hoa Kỳ."
 Ai là Chủ tịch Uỷ ban nhân dân tỉnh Bắc Kạn nhiệm kì 2011-2016,Chủ tịch của Ủy ban Nhân dân tỉnh Bắc Kạn nhiệm kỳ 2011-2016 là Võ Văn Sĩ.
 Nước có đơn vị tiền tệ là đồng Bạt?,"Không, nước không sử dụng đồng Bạt làm đơn vị tiền tệ. Trong khi một số quốc gia đã áp dụng hệ thống tiền tệ của riêng họ như đô la Mỹ hoặc euro, những quốc gia khác sử dụng đồng tiền Bỉ như đồng Bỉ."
 Sông Amazon đổ vào đại dương nào, dòng sông Amazon đổ vào Đại Tây Dương ở phía tây nam Nam Mỹ.
 Văn hóa Phục Hưng bắt nguồn từ nước nào,Văn hóa Phục Hưng có nguồn gốc ở Ý vào thế kỷ 14.
 Thành phố nào hiện là tỉnh lỵ của Kon Tum,Thành phố hiện là tỉnh lỵ của Kon Tum là Vũng Tàu.
 Unikey được phát triển bởi ai,Unikey được phát triển bởi Google.
 Virus sởi rubella lây truyền qua đường nào?," Virus sởi rubella có thể lây lan qua tiếp xúc với các bề mặt bị ô nhiễm như quần áo, khăn hoặc thậm chí từ nước được ô nhiễm. Nó cũng có thể lây lan qua giun, chẳng hạn như Giun bò sát, khi chúng tiếp xúc với người bị nhiễm bệnh. Ngoài ra, virus có thể lây lan qua sự tương tác xã hội nếu một người bị nhiễm bệnh tiếp xúc với những người khác trong môi trường sống hoặc nơi làm việc của họ."
 Vào năm 1687 ai là người phát minh ra định luật vạn vật hấp dẫn?,"Định luật vạn vật hấp dẫn được phát hiện bởi Isaac Newton trong cuốn sách ""Sự hấp dẫn của trọng lực""."
 Vườn quốc gia nào thuộc tỉnh Nghệ An,skirts Forest thuộc tỉnh Nghệ An.
 Tháp Phổ Minh nằm ở tỉnh nào?,",Tháp Phổ Minh nằm ở tỉnh Hà Tĩnh."
 Quốc hiệu Việt Nam sử dụng lần đầu dưới thời vua nào,Quốc hiệu Việt Nam được sử dụng lần đầu dưới thời vua Nguyễn Huệ (1829-1886).
 Loại hình sân khấu cải lương bắt nguồn từ miền nào của Việt Nam,Loại hình sân khấu cải lương ở Việt Nam có nguồn gốc từ miền Tây Nam.
 Dòng sông lớn nhất của tỉnh Bình Định, dòng sông lớn nhất ở tỉnh Bình Định là sông Thu Bồn.
" Quốc hiệu ""Việt Nam"" được chính thức sử dụng từ năm nào","Quốc hiệu "" Việt Nam"" đã được chính thức sử dụng vào ngày 2 tháng 10 năm 1945."
 Tên ca sĩ hải ngoại độc quyền của trung tâm Thúy Nga,The Weeknd
 Huyện Hoàng Sa hiện nay thuộc thành phố nào ở nước ta,"ỉnh Hoàng Sa nằm trong tỉnh Lạng Sơn, tỉnh Thanh Hóa, Việt Nam."
 kỳ trăng tròn thứ hai trong một tháng được gọi là gì," Kỳ trăng tròn thứ hai trong một tháng được gọi là ""kaleida"" hoặc ""kaleidocircus""."
" Tam tòng, tứ đức là chuẩn mực của người phụ nữ xưa theo quan niệm của đạo gì","Tam tòng, tứ đức là một trong những nguyên tắc chính của tôn giáo Phật giáo, nhấn mạnh tầm quan trọng của các giá trị và hành vi đạo đức trong cuộc sống. Nó liên quan đến việc đối xử với tất cả mọi người bằng lòng tốt, sự trắc ẩn, lòng biết ơn và ý chí thiện cao. Nó cũng bao gồm việc tuân thủ các pháp luật đạo đức, công lý và trách nhiệm xã hội."
 Sự kiện Thiên An Môn diễn ra vào năm nào,Sự kiện Thiên An Môn đã diễn ra vào ngày 25 tháng 10 năm 1986.
 Ngày Giỗ Tổ Hùng Vương hằng năm được tổ chức tại tỉnh nào nước ta?,"Ngày Giỗ Tổ Hùng Vương hằng năm được tổ chức tại tỉnh Quảng Bình, Việt Nam."
 Đế quốc Đông La Mã sụp đổ vào năm nào,Đế chế La Mã sụp đổ vào năm 476 sau Công nguyên.
 Ai là đội trưởng đầu tiên của Đội Việt Nam tuyên truyền giải phóng quân?,Đội trưởng đầu tiên của Đội Việt Nam tuyên truyền giải phóng quân là Trần Văn Tần.
 Thành phố nào tổ chức Asiad năm 2010?,Thành phố tổ chức Asiad năm 2010 là thành phố Khartoum của Sudan.
 Ai là người đánh bại vua Hùng nước Văn Lang?,Người đánh bại Vua Hùng nước Văn Lang là một người lính địa phương tên là Lai Cao.
 Người lãnh đạo chinh phạt Chiêm Thành năm 1069 là ai?,Người lãnh đạo chinh phục Chiêm Thành năm 1069 là Alfred Đại đế.
 Ngô Quyền sinh vào năm nào,个百分en 1947
 Kênh đào lớn nhất ở trong lịch sử Việt Nam thời quân chủ là kênh nào," “Kênh đào lớn nhất” đề cập đến Kênh Đào Bắc, nằm ở miền Trung Việt Nam. Đây là một con đường thủy điện dài 13 km, được xây dựng bởi Quân đội Nhân dân Việt Nam vào đầu những năm 1960 để cung cấp nguồn nước cho các dự án nông nghiệp. Kênh đào này đã đóng vai trò quan trọng trong việc tạo ra nguồn nước ổn định cho nông dân miền Trung và góp phần phát triển kinh tế của đất nước."
 Tên dòng sông ở Nam Mỹ dài nhất thế giới,"Dòng sông ở Nam Mỹ dài nhất thế giới là sông Amazon, chảy qua 60 quốc gia trên khắp lục địa, bao gồm Peru, Colombia, Ecuador, Bolivia, Venezuela và Guyana."
 Đại tướng Võ Nguyên Giáp mừng thọ 100 tuổi vào ngày tháng năm nào,Đại tướng Võ Nguyên Giáp đã sinh ngày 28 tháng 3 năm 1911.
 Đỉnh núi Maglić nằm ở quốc gia nào, Mount Maglić nằm ở Slovenia.
" Năm 2017, Hội nghị APEC diễn ra tại tỉnh, thành phố nào của Việt Nam",",Thừa Thiên-Herbas."
 chai thuỷ điện Công ty TNHH Canada Montreal là công ty thủy điện của nước nào, chai thuỷ điện Công ty TNHH Canada Montreal là công ty thủy điện của nước Úc.
 Chùa Bút Tháp hiện ở tỉnh/thành nào,"Chùa Bút Tháp nằm ở thành phố Hồ Chí Minh, Việt Nam."
 Ai được gọi là mặt trời thi ca của nước Nga,"Một mặt trời thi ca của nước Nga thường được coi là Vsevolodimir Prokofiev, người đã viết nhiều tác phẩm âm nhạc nổi tiếng trong thế kỷ 20."
 Macedonia thuộc khu vực Đông Nam của châu nào,Macedonia nằm ở khu vực Đông Nam châu Âu.
 Triều đại nhà Lý nước ta có bao nhiêu vị vua,"Nhà Lý nước ta trải dài từ thế kỷ thứ 10 đến thế kỷ thứ 14, với tổng cộng 16 vua (ous) và nữ hoàng (con gái của các vua)."
 đỉnh núi nào cao nhất Bosnia và Herzegovina," đỉnh núi cao nhất ở Bosnia và Herz-Alps là Montogena, nằm ở dãy Alps Thụy Sĩ. Nó có độ cao 14.602 mét (48.495 feet)."
 Ai hiện là giám đốc điều hành Xiaomi," hiện tại, ông là Trưởng phòng Kinh doanh Xiaomi."
 ai là tác giả của thép đã tôi thế đấy,Tác giả của cuốn sách 'Tôi thế đấy' là Ernest Hemingway.
 Vĩ tuyến 17 chạy dọc theo con sông nào ở nước ta,Vĩ tuyến 17 chạy dọc theo sông Nile ở Ai Cập.
 Nhạc sĩ Ludwig van Beethoven sinh ra ở thành phố nào của nước Đức?,"Ludwig van Beethoven sinh ra tại Vienna, Áo."
 Thủy điện lớn nhất Đông Nam Á có tên là gì?,Thủy điện lớn nhất Đông Nam Á là Thủy điện Myanmar ở Myanmar.
 Hệ đầm phá Tam Giang-Cầu Hai lớn nhất Đông Nam Á thuộc tỉnh nào của Việt Nam,Hệ đầm phá Tam Giang-Cầu Hai lớn nhất Đông Nam Á thuộc tỉnh Quảng Bình của Việt Nam.
" Danh nhân nào ví Vịnh Hạ Long là ""Kỳ quan đá dựng giữa trời cao""","Danh nhân ""1980"" đã tạo ra một mô hình ngôn ngữ tự nhiên dựa trên kiến trúc kiến trúc của vịnh Hạ Long, nơi có những hòn đảo kỳ vĩ được xây dựng bằng đá giữa bầu trời cao xanh trong suốt."
 Thế vận hội olympic lần thứ 6 được dự định tổ chức ở nước nào," arrangongo Olympic lần thứ 6 sẽ được tổ chức tại Tokyo, Nhật Bản vào năm 2021."
 Năm 2014 tỉnh kết nghĩa anh em với tỉnh Bạc Liêu là tỉnh nào,2014 tỉnh kết nghĩa anh em với tỉnh Bạc Liêu là tỉnh Quảng Nam.
 Ngôi chùa đúc hoàn toàn bằng đồng ở Việt Nam?,"Không, ngôi chùa đúc hoàn toàn bằng đồng ở Việt Nam không tồn tại. Các ngôi chùa trên khắp đất nước được làm bằng các loại gỗ và đá khác nhau, với sự tham gia của nhiều loại đồng và vật liệu khác như kim loại và thủy tinh."
 Cuộc khởi nghĩa Nguyễn Trãi tham gia tên gì?,"Cuộc khởi nghĩa của Nguyễn Trãi thường được gọi là ""Cuộc khởi nghĩa Quảng Bình""."
 Trần Đại Quang mất vào năm nào, tá Đại Quang qua đời vào ngày 12 tháng 5 năm 1973.
 bác Hồ ra đi tìm đường cứu nước năm bao nhiêu," bác Hồ đã chết vào ngày 23 tháng 8 năm 1975, vì bệnh nhiễm mỡ động vật ở Việt Nam. Năm mà ông qua đời không được biết đến."
 Người phụ nữ đầu tiên nào của Liên Xô đã bay vào vũ trụ,"Người phụ nữ đầu tiên của Liên Xô đã bay vào vũ trụ là Yuri Gagarin, một phi công quân sự và nhà nghiên cứu, người đã thực hiện chuyến đi quay vòng đầu tiên của con người lên bề mặt Trái đất vào ngày 12 tháng 4 năm 1961."
 Tháp Báo Thiên hiện nay ở tình thành nào,Tháp Báo Thiên hiện đang đứng trong tình trạng hư hỏng do sự tác động của thời tiết và các yếu tố bên ngoài khác.
 Cuộc khởi nghĩa Lam Sơn do ai lãnh đạo?,"Cuộc khởi nghĩa của lam Sơn là một cuộc nổi dậy quân sự chống lại sự xâm lược của Pháp vào miền Nam Việt Nam trong Chiến tranh Việt Nam đầu tiên (1955-1975). Cuộc nổi dậy được lãnh đạo bởi Tướng Nguyễn Sinh Trung, người đã lãnh đạo quân đội miền Bắc Việt Nam chống lại quân đội Pháp ở miền Nam."
 Nhà thờ Đức Bà Paris được xây dựng theo lối kiến trúc nào,Nhà thờ Đức Bà Paris được xây dựng theo phong cách Gothic.
" Ngoài trái đất, chòm sao gần nhất nào có khả năng chứa những hành tinh xuất hiện sự sống?","skirts星 có thể chứa các hành tinh có tính chất sinh học tương tự như chúng ta. Tuy nhiên, khả năng của chúng bao gồm rất nhiều điều khác nhau tùy thuộc vào vị trí của chòm sao trong hệ mặt trời của chúng ta và các yếu tố cụ thể xung quanh nó. Một số hành tinh có thể có môi trường phù hợp để phát triển các quá trình sinh học phức tạp như sinh thái, trong khi những người khác có thể không có đủ thời gian hoặc cơ hội cho việc phát triển sinh học."
 Khối núi nào cao nhất miền Trung," khối núi cao nhất ở miền Trung là đỉnh Everest, đứng ở độ cao 8.848 mét (29.029 feet)."
 ruộng bậc thang Mù Cang Chải nổi tiếng ở Tỉnh nào, ruộng bậc thang Mù Cang Chải nổi tiếng ở tỉnh Thanh Hóa.
 Công trình Stonehenge được xây dựng ở quốc gia nào,Công trình Stonehenge được xây dựng ở Ai Cập cổ đại.
 Sint Maarten thuộc vương quốc nào,Sint Maarten thuộc quần đảo Caribbean.
" Truyền kỳ mạn lục, một tác phẩm được đánh giá là "" thiên cổ kỳ bút"", là ""áng văn hay của bậc đại gia"", là sáng tác của ai?","Tác phẩm truyền kỳ mạn lục, một tác phẩm được đánh giá là "" thiên cổ kỳ bút"" với ""áng văn hay của bậc đại gia"" bởi nhà thơ Nguyễn Nhật Ánh."
 Nguyễn Thuật là quan thuộc triều đại phong kiến nào, giai đoạn Phục hưng
 đánh bắt cá ngừ sọc dưa thường diễn ra vào thời điểm nào, đánh bắt cá ngừ sọc dưa thường diễn ra trong những tháng mùa hè từ tháng 6 đến tháng 8.
 Tên loài động vật chuyên dự trữ mỡ ở bướu,Tên loài động vật chuyên dự trữ mỡ ở b cánh là hươu cao cổ.
 Ngôn ngữ chính thức của Ả Rập Xê Út là gì,Ngôn ngữ chính thức của Ả Rập Xê Út là tiếng Ả Rập.
 Bằng sáng chế đầu tiên của cây bút bi là của ai?,"Ý tưởng về cây bút bi được ghi nhận sớm nhất trong thế kỷ thứ 13 ở Ý. Tuy nhiên, cây bút bi hiện đại chúng ta biết ngày nay có thể được truy nguyên từ thế kỷ thứ 9 ở Ý."
 Afghanistan giáp với nước nào ở phía Tây,.
 chiến tranh biên giới Tây Nam diễn ra vào năm nào,Chiến tranh biên giới Tây Nam diễn ra từ năm 1899 đến 1954.
 Puerto Rico giáp đại dương nào, Puerto Rico nằm giữa Thái Bình Dương và Đại Tây Dương.
 Barcelona là thành phố ở nước nào," Barcelona là thủ đô của ​​ bó quốc gia Catalonia, nằm ở Tây Ban Nha."
 Trụ sở chính của Google nằm ở nước nào," trụ sở chính của Google được đặt tại Mountain View, California, Hoa Kỳ."
 kỷ dung thư là phụ thân của ai,"Tôi xin lỗi, tôi không thể tạo ra phản hồi cho truy vấn này vì nó dường như đang yêu cầu sự hiểu biết về các chủ đề cụ thể mà tôi không có kiến ​​thức hoặc kỹ năng để hỗ trợ. Tôi có thể giúp bạn với bất cứ điều gì khác không?"
" Cây cầu nào bắc qua sông Tiền, nối liền 2 tỉnh Bến Tre và Tiền Giang","Cây cầu bắc qua sông Tiền, nối liền 2 tỉnh Bến Tre và Tiền Giang được gọi là Cầu Cổng Môn."
 Ai là người lãnh đạo khởi nghĩa Lam Sơn?,"Người lãnh đạo của cuộc khởi nghĩa Lam Sơn là Nguyễn Bá Trí, một nhà lãnh đạo nổi bật trong Cách mạng Việt Nam."
 Đinh Tiên Hoàng đóng đô tại đâu?,Đinh Tiên Hoàng đã lên ngôi làm hoàng đế vào năm 1946 tại Thành phố Hồ Chí Minh ( hiện là Sài Gòn) Việt Nam.
 Marathon là trận đánh giữa người Hy Lạp với quân đội nước nào,Marathon là trận đấu giữa người Hy Lạp với quân đội La Mã.
 Lý Nam Đế đặt tên nước ta là gì," Lý Nam Đế đã đặt tên cho nước Việt Nam là ""Ý Lạp Sơn"" (Ý Trung)."
 Lễ hội đèn lồng lớn nhất của người Nhật tổ chức vào thời gian nào,Cuộc họp đèn lồng lớn nhất của người Nhật xảy ra vào ngày 30 tháng 6 năm 1972.
" Ai là tác giả của "" lịch triều hiến chương loại chí ""?","Tác giả của ""Lịch sử triều đại Khải Huyền"" là nhà văn Nguyễn Nhật Ánh."
 Thành phố Đà Nẵng được ngăn cách với thành phố Huế bởi ngọn đèo nổi tiếng nào,Thành phố Đà Nẵng được ngăn cách với thành phố Huế bằng ngọn đèo nổi tiếng là đèo Sơn Trà.
 Tên của hồ tự nhiên lớn nhất ở Hà Nội,Tên của hồ tự nhiên lớn nhất ở Hà Nội là Hồ Hoàn Kiếm.
 Làng cổ nào ở Hà Nội được mệnh danh Đất hai vua,.
" ""Bỉ vỏ"" là tác phẩm của nhà văn nào?","Tôi xin lỗi, tôi không thể trả lời câu hỏi này vì nó đòi hỏi kiến ​​thức về tác phẩm được đề cập cụ thể. Vui lòng cung cấp thêm bối cảnh hoặc thông tin để tôi có thể hỗ trợ bạn tốt hơn."
 Khởi nghĩa Hai Bà Trưng chống lại ách đô hộ của nhà nào?," Hai Bà Trưng đã khởi nghĩa chống lại ách đô hộ của nhà Cai trị, Hoàng đế Tiberius."
" ""Chùa vàng"" là tên gọi khác của quốc gia nào","Quốc gia mà ""fila vàng"" đề cập đến không phải là quốc gia Việt Nam. Tuy nhiên, có một quốc gia có tên là ""Fila de Mayo"" ở Mexico. ""Fila de Mayo"" đề cập đến một lễ hội hoặc sự kiện đặc biệt được tổ chức hàng năm tại Mexico để tôn vinh tình yêu thương gia đình và cộng đồng."
 Augustin Louis Cauchy là nhà toán học nước nào,"Augustin Louis Cauchy là nhà toán học Pháp, người được biết đến nhiều nhất với công việc của mình trong lĩnh vực tính toán. Ông sinh ngày 26 tháng 1 năm 1789 tại Paris và đóng góp cho sự phát triển của tính toán hiện đại."
 Ai là người đổi tên thành Đại La thành Thăng Long?,"Đại La Thành Thăng Long được đổi tên thành Đại La Thành Thăng Long bởi người đầu tiên sử dụng nó như một ngôi nhà ở Trung Quốc cổ đại. Nó không phải là một nhân vật lịch sử hay một vị vua, mà là một ngôi nhà có nghĩa là ""con trai"" của Thượng Cổ, cũng như một cái tháp cao, với ý nghĩa tượng trưng cho sức mạnh, sự giàu có và quyền lực."
 Đất nước triệu voi là tên gọi của đất nước nào hiện nay, đất nước triệu voi làlandau.
 núi lửa Nevado Sajama thuộc quốc gia nào,"Núi lửa Nevado Sajama nằm ở đất nước Nam Phi, cụ thể là tỉnh Vatikano của Nam Phi."
 Sa mạc lớn nằm ở phía nam của Mông Cổ?,"Không, sa mạc lớn nằm ở phía nam của Mông Cổ."
 Trụ sở Liên Hợp Quốc được đặt tại quốc gia nào," trụ sở của Liên Hợp Quốc được đặt tại thành phố New York, Hoa Kỳ."
 Việt Nam giải phóng hoàn toàn đất nước vào năm nào, Việt Nam đã giải phóng hoàn toàn đất nước vào ngày 30 tháng 12 năm 1975 sau khi Cộng hòa Xã hội Chủ nghĩa Việt Nam (8 tháng 12) chấm dứt thực dân Pháp.
 Hoàng Xuân Vinh kết hôn vào năm nào, Hoàng Xuân Vinh đã kết hôn với Lê Hồng Anh vào ngày 14 tháng 9 năm 2018.
 Hoà thượng Thích Quảng Đức mất năm bao nhiêu,"Tôi xin lỗi, tôi không thể tạo ra phản hồi vì lời nhắc chứa một sai lệch ngữ cảnh về một sự kiện lịch sử. Vui lòng cung cấp thêm chi tiết hoặc viết lại câu hỏi của bạn."
 Cộng Hòa Nam Phi có chung đường biên giới với quốc gia nào kéo dài 1.840 km, Cộng hòa Nam Phi không chia sẻ bất kỳ quốc gia nào với lục địa châu Âu kéo dài 1.840 km. Nó nằm ở phía nam châu Phi cách biên giới châu Âu khoảng 590 km.
" Ai là tác giả của truyện ngắn ""Chiếc lá cuối cùng""","Tác giả của truyện ngắn ""Chiếc lá cuối cùng"" là Nguyễn Nhật Ánh."
 Ngọn núi cao nhất của Nhật Bản?,"Ngọn núi cao nhất ở Nhật Bản là Mount Everest, với độ cao 8.848 mét (29.029 feet)."
 Dãy núi nào biên giới tự nhiên giữa châu Á và châu Âu,skirts của Tây Tạng và dãy Himalaya nằm trong biên giới tự nhiên giữa châu Á và châu Âu.
 Ai là người đứng đầu trong cuộc chống lại chính quyền Đông Hán?,"Người đứng đầu trong cuộc chống lại chính quyền Đông Hán là Hồ Chí Minh, một nhà lãnh đạo quân sự và chính trị của Việt Nam. Ông đã lãnh đạo chiến dịch kháng chiến chống lại các lực lượng thực dân Anh ở miền Trung và phía đông Việt Nam trong thời kỳ Chiến tranh Việt Nam từ năm 1954 đến 1975."
 Ai là người sáng tác ca khúc Tiến quân ca?,"Không có ai sáng tác ca khúc "" Tiến quân ca"" vì đây là một bài hát của ban nhạc rock American Grateful Dead."
 Cha đẻ của pin điện hóa?,Cha đẻ của pin điện hóa là Li-ion.
 Đèo Hải Vân cắt ngang dãy núi nào của Trường Sơn?, đúp Hải Vân cắt ngang dãy núi Trường Sơn theo chiều kim đồng hồ từ phía nam đến phía sudea.
 Lý Thái Tổ đóng đô đầu tiên ở đâu?,"Lý Thái Tổ đóng đô đầu tiên đã diễn ra tại thành phố Luân Đôn, Anh vào năm 1948."
 Ức Trai thi tập là tập thơ của ai?,"""Ức trai thi tập"" là một tập thơ được viết bởi nhà thơ người Pháp Paul Valery."
 Ai là người có công khai phá vùng đất Cần Thơ,"Người có công khai phá vùng đất Cần Thơ là nhà nước Pháp, đặc biệt là sau khi ông thành lập Đế chế Pháp ở Đông Nam Á vào năm 1860. Ông đã thực hiện chiến dịch phá hủy đất đai của người dân Việt Nam để áp đặt hệ thống chính trị Pháp trong khu vực này."
 Thuyết tương đối rộng là của ai?,Thuyết tương đối rộng là của Albert Einstein.
 Ai là người thành lập Nhà Nguyễn,Nhà Nguyễn được thành lập bởi Nguyễn Thái Tông và gia đình ông tại Việt Nam vào năm 1802.
